{1,2}	skip moves:[[1 1] [2 2]]; speedup:22.5=>18
{3,4,5,6,8,9,10}	skip moves:[[2 4] [1 5] [6 6]]; speedup:21.62=>21.62
{1,3,4,5,6,8,9,10}	skip moves:[[2 3] [2 4] [6 6] [5 6]]; speedup:22.67=>22.54
{2,3,4,5,6,8,9,10}	skip moves:[[1 4] [1 5] [6 6] [5 6]]; speedup:22.4=>22.35
{1,2,3,4,5,6,8,9,10}	skip moves:[[6 6] [5 6]]; speedup:23.15=>23.07
{1,2,7,8,9,10}	skip moves:[[1 1] [2 2]]; speedup:26.64=>25.96
{1,3,7,8,9,10}	skip moves:[[3 3] [1 2]]; speedup:26.38=>24.3
{2,3,7,8,9,10}	skip moves:[[3 3] [1 2]]; speedup:23.84=>23.55
{1,2,3,7,8,9,10}	skip moves:[[2 3]]; speedup:27.9=>26.85
{1,4,7,8,9,10}	skip moves:[[2 2] [1 3]]; speedup:25.75=>23.58
{2,4,7,8,9,10}	skip moves:[[1 3]]; speedup:22.81=>22.52
{1,2,4,7,8,9,10}	skip moves:[[2 4]]; speedup:27.05=>25.98
{1,3,4,7,8,9,10}	skip moves:[[2 2]]; speedup:24.13=>24.13
{2,3,4,7,8,9,10}	skip moves:[[1 3]]; speedup:23.45=>23.44
{1,2,3,4,7,8,9,10}	skip moves:[[3 3]]; speedup:24.68=>24.64
{1,5,7,8,9,10}	skip moves:[[2 3] [1 4]]; speedup:26.02=>23.18
{2,5,7,8,9,10}	skip moves:[[2 3] [1 4]]; speedup:22.79=>22.16
{1,2,5,7,8,9,10}	skip moves:[[1 5] [2 3] [1 4]]; speedup:25.58=>25.48
{3,5,7,8,9,10}	skip moves:[[2 3] [1 4]]; speedup:21.69=>21.64
{1,3,5,7,8,9,10}	skip moves:[[2 3] [1 4]]; speedup:23.76=>23.68
{2,3,5,7,8,9,10}	skip moves:[[1 4]]; speedup:23.12=>23.08
{1,2,3,5,7,8,9,10}	skip moves:[[3 3] [1 4]]; speedup:24.55=>24.35
{1,4,5,7,8,9,10}	skip moves:[[2 2] [1 3] [2 3]]; speedup:23.16=>23.12
{1,2,4,5,7,8,9,10}	skip moves:[[1 3] [2 3]]; speedup:24.07=>23.83
{1,3,4,5,7,8,9,10}	skip moves:[[2 2] [2 3]]; speedup:23.57=>23.52
{2,3,4,5,7,8,9,10}	skip moves:[[1 4]]; speedup:23.16=>23.14
{1,6,7,8,9,10}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:27.38=>23.1
{2,6,7,8,9,10}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:22.84=>21.9
{1,2,6,7,8,9,10}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:25.21=>25.01
{3,6,7,8,9,10}	skip moves:[[2 4] [1 5] [6 6]]; speedup:21.57=>21.48
{1,3,6,7,8,9,10}	skip moves:[[2 4] [1 5] [6 6]]; speedup:23.63=>23.49
{2,3,6,7,8,9,10}	skip moves:[[2 4] [1 5] [6 6]]; speedup:22.91=>22.79
{1,2,3,6,7,8,9,10}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:24.66=>24.23
{1,4,6,7,8,9,10}	skip moves:[[2 2] [1 3] [3 3] [2 4] [1 5] [6 6]]; speedup:23.05=>22.9
{2,4,6,7,8,9,10}	skip moves:[[1 5] [3 3] [6 6]]; speedup:22.35=>22.32
{1,2,4,6,7,8,9,10}	skip moves:[[1 3] [3 3] [1 5] [6 6]]; speedup:24.08=>23.72
{3,4,6,7,8,9,10}	skip moves:[[2 4] [1 5] [6 6]]; speedup:22.02=>22.02
{1,3,4,6,7,8,9,10}	skip moves:[[2 2] [2 4] [1 5] [6 6]]; speedup:23.51=>23.4
{2,3,4,6,7,8,9,10}	skip moves:[[1 5] [6 6]]; speedup:22.98=>22.93
{1,2,3,4,6,7,8,9,10}	skip moves:[[1 5] [6 6]]; speedup:24.07=>24.01
{1,5,6,7,8,9,10}	skip moves:[[2 3] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:23.76=>22.36
{2,5,6,7,8,9,10}	skip moves:[[1 5] [3 3] [2 4] [6 6] [5 6]]; speedup:22.22=>21.93
{1,2,5,6,7,8,9,10}	skip moves:[[2 3] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:23.97=>23.38
{3,5,6,7,8,9,10}	skip moves:[[5 6]]; speedup:21.68=>21.66
{1,3,5,6,7,8,9,10}	skip moves:[[2 3] [1 4] [2 4] [6 6] [5 6]]; speedup:23.14=>22.93
{2,3,5,6,7,8,9,10}	skip moves:[[1 4] [2 4] [1 5] [6 6] [5 6]]; speedup:22.78=>22.66
{1,2,3,5,6,7,8,9,10}	skip moves:[[1 4] [2 4] [6 6] [5 6]]; speedup:23.97=>23.72
{1,4,5,6,7,8,9,10}	skip moves:[[2 3] [2 4] [3 3] [6 6] [5 6]]; speedup:22.73=>22.59
{2,4,5,6,7,8,9,10}	skip moves:[[5 6] [1 5] [3 3] [6 6]]; speedup:22.4=>22.38
{1,2,4,5,6,7,8,9,10}	skip moves:[[1 3] [2 3] [3 3] [6 6] [5 6]]; speedup:23.57=>23.38
{3,4,5,6,7,8,9,10}	skip moves:[[1 5] [2 4] [6 6]]; speedup:22.17=>22.16
{1,3,4,5,6,7,8,9,10}	skip moves:[[2 3] [2 4] [6 6] [5 6]]; speedup:23.24=>23.14
{2,3,4,5,6,7,8,9,10}	skip moves:[[1 4] [1 5] [6 6] [5 6]]; speedup:22.98=>22.93
{1,2,3,4,5,6,7,8,9,10}	skip moves:[[6 6] [5 6]]; speedup:23.71=>23.64
{1,2,11}	skip moves:[[1 1] [2 2]]; speedup:29.5=>27
{1,3,11}	skip moves:[[1 2] [3 3]]; speedup:31.6=>25.36
{2,3,11}	skip moves:[[1 2] [3 3]]; speedup:25.4=>24.6
{1,2,3,11}	skip moves:[[2 3]]; speedup:30.73=>28.22
{1,4,11}	skip moves:[[1 3] [2 2] [4 4]]; speedup:32.33=>24.6
{2,4,11}	skip moves:[[1 3] [4 4]]; speedup:24.67=>23.5
{1,2,4,11}	skip moves:[[2 4]]; speedup:29.49=>27.22
{1,3,4,11}	skip moves:[[3 4]]; speedup:27.74=>25.37
{2,3,4,11}	skip moves:[[3 4]]; speedup:24.93=>24.63
{1,2,3,4,11}	skip moves:[[3 4] [3 3] [4 4]]; speedup:26.25=>25.93
{1,5,11}	skip moves:[[1 4] [2 3] [5 5]]; speedup:33.09=>24.17
{2,5,11}	skip moves:[[1 4] [2 3] [5 5]]; speedup:24.76=>22.89
{1,2,5,11}	skip moves:[[2 3] [5 5] [1 5] [1 4] [2 5]]; speedup:28.88=>26.69
{3,5,11}	skip moves:[[1 4] [2 3] [5 5]]; speedup:22.43=>22.17
{1,3,5,11}	skip moves:[[2 3] [5 5] [1 4] [3 5]]; speedup:27.02=>24.86
{2,3,5,11}	skip moves:[[5 5] [1 4] [3 5]]; speedup:24.53=>24.07
{1,2,3,5,11}	skip moves:[[3 3] [3 5] [5 5] [1 4]]; speedup:26.15=>25.55
{1,4,5,11}	skip moves:[[5 5] [2 3] [4 5]]; speedup:26.51=>24.21
{2,4,5,11}	skip moves:[[5 5] [2 3] [1 4] [4 5]]; speedup:23.81=>23.37
{1,2,4,5,11}	skip moves:[[4 4] [1 3] [4 5] [5 5] [2 3]]; speedup:25.68=>24.94
{3,4,5,11}	skip moves:[[4 5] [2 3] [5 5] [1 4]]; speedup:22.8=>22.8
{1,3,4,5,11}	skip moves:[[3 5] [4 4] [2 2] [4 5] [2 3] [5 5]]; speedup:24.77=>24.56
{2,3,4,5,11}	skip moves:[[4 4] [1 3] [4 5] [1 4] [5 5]]; speedup:24.08=>23.93
{1,2,3,4,5,11}	skip moves:[[4 4] [5 5] [3 4] [3 5] [4 5]]; speedup:25.86=>25.4
{1,6,11}	skip moves:[[1 5] [2 4] [3 3] [6 6]]; speedup:33.77=>23.9
{2,6,11}	skip moves:[[1 5] [2 4] [3 3] [6 6]]; speedup:24.75=>22.5
{1,2,6,11}	skip moves:[[3 3] [2 4] [1 6] [1 5] [6 6] [2 6]]; speedup:28.61=>26.29
{3,6,11}	skip moves:[[1 5] [2 4] [6 6]]; speedup:22.18=>21.73
{1,3,6,11}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:26.83=>24.52
{2,3,6,11}	skip moves:[[1 5] [2 4] [6 6] [3 6]]; speedup:24.3=>23.67
{1,2,3,6,11}	skip moves:[[2 6] [3 3] [3 6] [1 5] [2 4] [6 6]]; speedup:26.15=>25.27
{1,4,6,11}	skip moves:[[4 4] [1 3] [2 2] [3 3] [2 4] [1 5] [6 6] [4 6]]; speedup:26.03=>23.9
{2,4,6,11}	skip moves:[[3 3] [1 5] [6 6] [4 6]]; speedup:23.62=>23.05
{1,2,4,6,11}	skip moves:[[4 4] [1 3] [4 6] [3 3] [1 5] [6 6]]; speedup:25.56=>24.72
{3,4,6,11}	skip moves:[[4 6] [2 4] [1 5] [6 6]]; speedup:22.58=>22.46
{1,3,4,6,11}	skip moves:[[2 2] [4 4] [3 6] [4 6] [2 4] [1 5] [6 6]]; speedup:24.63=>24.28
{2,3,4,6,11}	skip moves:[[4 4] [1 3] [4 6] [1 5] [6 6]]; speedup:23.85=>23.66
{1,2,3,4,6,11}	skip moves:[[4 4] [2 6] [1 5] [6 6] [3 4] [3 6] [4 6]]; speedup:25.66=>25.11
{1,5,6,11}	skip moves:[[2 3] [5 5] [1 4] [3 3] [2 4] [6 6]]; speedup:23.77=>23.44
{2,5,6,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:22.73=>22.66
{1,2,5,6,11}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [6 6]]; speedup:25.21=>24.4
{3,5,6,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:22.13=>22.12
{1,3,5,6,11}	skip moves:[[3 6] [5 5] [2 3] [1 4] [2 4] [6 6]]; speedup:24.21=>23.96
{2,3,5,6,11}	skip moves:[[5 5] [1 4] [1 5] [2 4] [6 6]]; speedup:23.5=>23.3
{1,2,3,5,6,11}	skip moves:[[2 6] [5 5] [1 4] [2 4] [6 6] [3 5] [3 6]]; speedup:25.16=>24.79
{1,4,5,6,11}	skip moves:[[5 5] [2 3] [4 5] [4 6] [3 3] [2 4] [6 6]]; speedup:23.8=>23.57
{2,4,5,6,11}	skip moves:[[5 5] [1 4] [2 3] [1 5] [3 3] [6 6]]; speedup:23.06=>23
{1,2,4,5,6,11}	skip moves:[[4 4] [1 3] [5 5] [2 3] [3 3] [6 6] [4 5] [4 6]]; speedup:24.72=>24.35
{3,4,5,6,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:22.58=>22.53
{1,3,4,5,6,11}	skip moves:[[3 6] [2 3] [5 5] [4 5] [2 4] [6 6] [4 6]]; speedup:24.18=>24.01
{2,3,4,5,6,11}	skip moves:[[1 4] [5 5] [4 5] [1 5] [6 6] [4 6]]; speedup:23.62=>23.53
{1,2,3,4,5,6,11}	skip moves:[[3 5] [4 4] [3 6] [5 5] [4 5] [6 6] [4 6]]; speedup:24.74=>24.58
{1,2,7,11}	skip moves:[[2 2]]; speedup:28.83=>27.6
{1,3,7,11}	skip moves:[[3 3] [1 2]]; speedup:29.49=>25.99
{2,3,7,11}	skip moves:[[3 3] [1 2]]; speedup:25.72=>25.25
{1,2,3,7,11}	skip moves:[[2 3]]; speedup:30.26=>28.65
{1,4,7,11}	skip moves:[[2 2] [4 4] [1 3]]; speedup:29.81=>25.25
{2,4,7,11}	skip moves:[[4 4] [1 3]]; speedup:24.86=>24.18
{1,2,4,7,11}	skip moves:[[2 4]]; speedup:29.25=>27.7
{1,3,4,7,11}	skip moves:[[4 4] [2 2]]; speedup:25.91=>25.9
{2,3,4,7,11}	skip moves:[[4 4] [1 3]]; speedup:25.21=>25.21
{1,2,3,4,7,11}	skip moves:[[3 3] [4 4]]; speedup:26.6=>26.44
{1,5,7,11}	skip moves:[[5 5] [2 3] [1 4]]; speedup:30.31=>24.83
{2,5,7,11}	skip moves:[[2 3] [5 5] [1 4]]; speedup:25.08=>23.82
{1,2,5,7,11}	skip moves:[[2 3] [5 5] [1 5] [1 4]]; speedup:27.34=>27.19
{3,5,7,11}	skip moves:[[2 3] [5 5] [1 4]]; speedup:23.1=>22.92
{1,3,5,7,11}	skip moves:[[2 3] [5 5] [1 4] [3 5]]; speedup:27=>25.4
{2,3,5,7,11}	skip moves:[[5 5] [1 4] [3 5]]; speedup:25.14=>24.79
{1,2,3,5,7,11}	skip moves:[[3 3] [3 5] [5 5] [1 4]]; speedup:26.59=>26.11
{1,4,5,7,11}	skip moves:[[4 4] [2 2] [1 3] [2 3] [5 5] [4 5]]; speedup:26.44=>24.77
{2,4,5,7,11}	skip moves:[[2 3] [5 5] [1 4] [4 5]]; speedup:24.46=>24.14
{1,2,4,5,7,11}	skip moves:[[4 4] [1 3] [4 5] [5 5] [2 3]]; speedup:26.14=>25.54
{3,4,5,7,11}	skip moves:[[4 5] [5 5] [1 4] [2 3]]; speedup:23.57=>23.54
{1,3,4,5,7,11}	skip moves:[[3 5] [4 4] [2 2] [2 3] [5 5] [4 5]]; speedup:25.32=>25.15
{2,3,4,5,7,11}	skip moves:[[4 4] [1 3] [5 5] [1 4] [4 5]]; speedup:24.83=>24.73
{1,2,3,4,5,7,11}	skip moves:[[4 4] [5 5] [3 5] [4 5]]; speedup:26.26=>25.92
{1,6,7,11}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:31.84=>24.83
{2,6,7,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:24.69=>23.23
{1,2,6,7,11}	skip moves:[[3 3] [2 4] [1 5] [6 6] [2 6]]; speedup:28.59=>26.79
{3,6,7,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:22.8=>22.5
{1,3,6,7,11}	skip moves:[[1 5] [2 4] [6 6] [3 6]]; speedup:27.06=>25.26
{2,3,6,7,11}	skip moves:[[6 6] [1 5] [2 4] [3 6]]; speedup:24.74=>24.26
{1,2,3,6,7,11}	skip moves:[[2 6] [3 3] [3 6] [2 4] [1 5] [6 6]]; speedup:26.6=>25.9
{1,4,6,7,11}	skip moves:[[2 2] [4 4] [1 3] [3 3] [2 4] [1 5] [6 6] [4 6]]; speedup:26.37=>24.64
{2,4,6,7,11}	skip moves:[[3 3] [1 5] [6 6] [4 6]]; speedup:24.1=>23.67
{1,2,4,6,7,11}	skip moves:[[4 4] [1 3] [4 6] [3 3] [1 5] [6 6]]; speedup:26.04=>25.37
{3,4,6,7,11}	skip moves:[[4 6] [2 4] [1 5] [6 6]]; speedup:23.35=>23.22
{1,3,4,6,7,11}	skip moves:[[3 6] [4 4] [2 2] [2 4] [1 5] [6 6] [4 6]]; speedup:25.29=>25.02
{2,3,4,6,7,11}	skip moves:[[1 5] [6 6] [4 6]]; speedup:24.47=>24.32
{1,2,3,4,6,7,11}	skip moves:[[2 6] [4 4] [1 5] [6 6] [3 6] [4 6]]; speedup:26.11=>25.7
{1,5,6,7,11}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [6 6]]; speedup:24.47=>24.18
{2,5,6,7,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:23.52=>23.41
{1,2,5,6,7,11}	skip moves:[[5 5] [2 3] [1 4] [2 4] [3 3] [6 6]]; speedup:25.8=>25.14
{3,5,6,7,11}	skip moves:[[1 5] [2 4] [6 6]]; speedup:22.83=>22.8
{1,3,5,6,7,11}	skip moves:[[3 5] [3 6] [5 5] [2 3] [1 4] [2 4] [6 6]]; speedup:24.85=>24.62
{2,3,5,6,7,11}	skip moves:[[5 5] [1 4] [1 5] [2 4] [6 6]]; speedup:24.16=>24
{1,2,3,5,6,7,11}	skip moves:[[5 5] [1 4] [2 4] [6 6] [3 5] [3 6]]; speedup:25.74=>25.43
{1,4,5,6,7,11}	skip moves:[[2 3] [5 5] [3 3] [2 4] [6 6] [4 5] [4 6]]; speedup:24.45=>24.26
{2,4,5,6,7,11}	skip moves:[[4 6] [1 5] [3 3] [6 6]]; speedup:23.77=>23.7
{1,2,4,5,6,7,11}	skip moves:[[4 4] [1 3] [2 3] [5 5] [3 3] [6 6] [4 5] [4 6]]; speedup:25.35=>25.02
{3,4,5,6,7,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:23.29=>23.25
{1,3,4,5,6,7,11}	skip moves:[[3 6] [5 5] [2 3] [2 4] [6 6] [4 5] [4 6]]; speedup:24.85=>24.7
{2,3,4,5,6,7,11}	skip moves:[[4 5] [5 5] [1 4] [1 5] [6 6] [4 6]]; speedup:24.33=>24.25
{1,2,3,4,5,6,7,11}	skip moves:[[3 5] [4 4] [3 6] [5 5] [4 5] [6 6] [4 6]]; speedup:25.38=>25.24
{1,2,8,11}	skip moves:[[1 1] [2 2]]; speedup:29.25=>27.91
{1,3,8,11}	skip moves:[[3 3] [1 2]]; speedup:30.06=>26.31
{2,3,8,11}	skip moves:[[3 3] [1 2]]; speedup:26.08=>25.58
{1,2,3,8,11}	skip moves:[[2 3]]; speedup:30.62=>28.91
{1,4,8,11}	skip moves:[[2 2] [1 3]]; speedup:29.53=>25.62
{2,4,8,11}	skip moves:[[1 3]]; speedup:25.1=>24.59
{1,2,4,8,11}	skip moves:[[2 4]]; speedup:29.75=>28.04
{1,3,4,8,11}	skip moves:[[2 2] [3 4]]; speedup:28.06=>26.24
{2,3,4,8,11}	skip moves:[[1 3] [3 4]]; speedup:25.8=>25.56
{1,2,3,4,8,11}	skip moves:[[3 4] [3 3]]; speedup:26.91=>26.74
{1,5,8,11}	skip moves:[[5 5] [2 3] [1 4]]; speedup:30.97=>25.18
{2,5,8,11}	skip moves:[[5 5] [2 3] [1 4]]; speedup:25.2=>23.96
{1,2,5,8,11}	skip moves:[[5 5] [2 3] [1 4] [1 5] [2 5]]; speedup:29.12=>27.44
{3,5,8,11}	skip moves:[[5 5] [2 3] [1 4]]; speedup:23.75=>23.65
{1,3,5,8,11}	skip moves:[[5 5] [2 3] [1 4]]; speedup:25.88=>25.74
{2,3,5,8,11}	skip moves:[[5 5] [1 4]]; speedup:25.11=>25.02
{1,2,3,5,8,11}	skip moves:[[3 3] [5 5] [1 4]]; speedup:26.77=>26.4
{1,4,5,8,11}	skip moves:[[2 2] [1 3] [2 3] [5 5] [4 5]]; speedup:26.97=>25.16
{2,4,5,8,11}	skip moves:[[5 5] [1 4] [2 3] [4 5]]; speedup:24.77=>24.42
{1,2,4,5,8,11}	skip moves:[[1 3] [4 5] [5 5] [2 3]]; speedup:26.36=>25.81
{1,3,4,5,8,11}	skip moves:[[2 2] [5 5] [2 3] [4 5]]; speedup:25.67=>25.51
{2,3,4,5,8,11}	skip moves:[[1 3] [1 4] [5 5] [4 5]]; speedup:25.09=>24.97
{1,2,3,4,5,8,11}	skip moves:[[2 5] [5 5] [3 4] [4 5]]; speedup:26.51=>26.22
{1,6,8,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:31.54=>24.92
{2,6,8,11}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:25.57=>24.01
{1,2,6,8,11}	skip moves:[[3 3] [2 4] [1 5] [6 6] [1 6]]; speedup:27.44=>27.1
{3,6,8,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:23.21=>22.9
{1,3,6,8,11}	skip moves:[[1 5] [2 4] [6 6] [3 6]]; speedup:27.17=>25.4
{2,3,6,8,11}	skip moves:[[1 5] [2 4] [6 6] [3 6]]; speedup:25.3=>24.83
{1,2,3,6,8,11}	skip moves:[[3 3] [3 6] [2 4] [1 5] [6 6]]; speedup:26.88=>26.15
{4,6,8,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:22.52=>22.5
{1,4,6,8,11}	skip moves:[[2 2] [1 3] [3 3] [2 4] [1 5] [6 6] [4 6]]; speedup:26.61=>24.86
{2,4,6,8,11}	skip moves:[[3 3] [1 5] [6 6] [4 6]]; speedup:24.82=>24.42
{1,2,4,6,8,11}	skip moves:[[1 3] [4 6] [1 5] [3 3] [6 6]]; speedup:26.36=>25.69
{3,4,6,8,11}	skip moves:[[4 6] [2 4] [1 5] [6 6]]; speedup:23.71=>23.6
{1,3,4,6,8,11}	skip moves:[[2 2] [3 6] [2 4] [1 5] [6 6] [4 6]]; speedup:25.48=>25.19
{2,3,4,6,8,11}	skip moves:[[1 3] [1 5] [6 6] [4 6]]; speedup:24.95=>24.81
{1,2,3,4,6,8,11}	skip moves:[[6 6] [1 5] [3 4] [3 6] [4 6]]; speedup:26.45=>25.98
{1,5,6,8,11}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [6 6]]; speedup:24.65=>24.36
{2,5,6,8,11}	skip moves:[[5 5] [2 3] [1 4]]; speedup:23.98=>23.97
{1,2,5,6,8,11}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [6 6]]; speedup:26.01=>25.35
{3,5,6,8,11}	skip moves:[[1 5] [2 4] [6 6]]; speedup:23.41=>23.34
{1,3,5,6,8,11}	skip moves:[[3 6] [5 5] [2 3] [1 4] [2 4] [6 6]]; speedup:25.09=>24.88
{2,3,5,6,8,11}	skip moves:[[1 4] [5 5] [1 5] [2 4] [6 6]]; speedup:24.65=>24.52
{1,2,3,5,6,8,11}	skip moves:[[5 5] [1 4] [2 4] [6 6] [3 6]]; speedup:25.91=>25.67
{1,4,5,6,8,11}	skip moves:[[2 3] [5 5] [4 5] [2 4] [3 3] [6 6] [4 6]]; speedup:24.72=>24.52
{2,4,5,6,8,11}	skip moves:[[6 6] [1 5] [3 3] [1 4] [5 5] [2 3]]; speedup:24.3=>24.24
{1,2,4,5,6,8,11}	skip moves:[[1 3] [2 3] [5 5] [3 3] [6 6] [4 5] [4 6]]; speedup:25.62=>25.3
{3,4,5,6,8,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:23.82=>23.76
{1,3,4,5,6,8,11}	skip moves:[[3 6] [5 5] [2 3] [4 5] [2 4] [6 6] [4 6]]; speedup:25.1=>24.94
{2,3,4,5,6,8,11}	skip moves:[[5 5] [1 4] [4 5] [1 5] [6 6] [4 6]]; speedup:24.75=>24.68
{1,2,3,4,5,6,8,11}	skip moves:[[3 6] [5 5] [4 5] [6 6] [4 6]]; speedup:25.64=>25.5
{1,2,7,8,11}	skip moves:[[1 1] [2 2]]; speedup:29.23=>28.38
{1,3,7,8,11}	skip moves:[[3 3] [1 2]]; speedup:29.33=>26.8
{2,3,7,8,11}	skip moves:[[3 3] [1 2]]; speedup:26.43=>26.09
{1,2,3,7,8,11}	skip moves:[[2 3]]; speedup:30.5=>29.26
{1,4,7,8,11}	skip moves:[[2 2] [1 3]]; speedup:28.76=>26.12
{2,4,7,8,11}	skip moves:[[1 3]]; speedup:25.46=>25.12
{1,2,4,7,8,11}	skip moves:[[2 4]]; speedup:29.68=>28.43
{1,3,4,7,8,11}	skip moves:[[2 2]]; speedup:26.68=>26.67
{2,3,4,7,8,11}	skip moves:[[1 3]]; speedup:26.03=>26.02
{1,2,3,4,7,8,11}	skip moves:[[3 3]]; speedup:27.21=>27.16
{1,5,7,8,11}	skip moves:[[5 5] [2 3] [1 4]]; speedup:29.78=>25.69
{2,5,7,8,11}	skip moves:[[5 5] [2 3] [1 4]]; speedup:25.63=>24.71
{1,2,5,7,8,11}	skip moves:[[2 3] [5 5] [1 5] [1 4]]; speedup:28=>27.85
{3,5,7,8,11}	skip moves:[[5 5] [2 3] [1 4]]; speedup:24.28=>24.2
{1,3,5,7,8,11}	skip moves:[[2 3] [5 5] [1 4]]; speedup:26.3=>26.18
{2,3,5,7,8,11}	skip moves:[[5 5] [1 4]]; speedup:25.67=>25.61
{1,2,3,5,7,8,11}	skip moves:[[3 3] [5 5] [1 4]]; speedup:27.15=>26.85
{1,4,5,7,8,11}	skip moves:[[2 2] [1 3] [2 3] [5 5] [4 5]]; speedup:27=>25.61
{2,4,5,7,8,11}	skip moves:[[5 5] [1 4] [2 3] [4 5]]; speedup:25.31=>25.03
{1,2,4,5,7,8,11}	skip moves:[[1 3] [4 5] [5 5] [2 3]]; speedup:26.75=>26.3
{1,3,4,5,7,8,11}	skip moves:[[2 2] [2 3] [5 5] [4 5]]; speedup:26.13=>25.99
{2,3,4,5,7,8,11}	skip moves:[[1 4] [5 5] [4 5]]; speedup:25.71=>25.64
{1,2,3,4,5,7,8,11}	skip moves:[[5 5] [4 5]]; speedup:26.84=>26.66
{1,6,7,8,11}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:30.82=>25.67
{2,6,7,8,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:25.64=>24.54
{1,2,6,7,8,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:27.74=>27.51
{3,6,7,8,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:23.72=>23.5
{1,3,6,7,8,11}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:27.46=>26.01
{2,3,6,7,8,11}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:25.66=>25.29
{1,2,3,6,7,8,11}	skip moves:[[3 3] [3 6] [2 4] [1 5] [6 6]]; speedup:27.26=>26.67
{4,6,7,8,11}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:23.15=>23.13
{1,4,6,7,8,11}	skip moves:[[2 2] [1 3] [2 4] [3 3] [1 5] [6 6] [4 6]]; speedup:26.92=>25.47
{2,4,6,7,8,11}	skip moves:[[1 5] [3 3] [6 6] [4 6]]; speedup:25.21=>24.89
{1,2,4,6,7,8,11}	skip moves:[[1 3] [4 6] [3 3] [1 5] [6 6]]; speedup:26.77=>26.23
{3,4,6,7,8,11}	skip moves:[[4 6] [2 4] [1 5] [6 6]]; speedup:24.31=>24.21
{1,3,4,6,7,8,11}	skip moves:[[2 2] [3 6] [2 4] [1 5] [6 6] [4 6]]; speedup:26.03=>25.8
{2,3,4,6,7,8,11}	skip moves:[[1 5] [6 6] [4 6]]; speedup:25.44=>25.32
{1,2,3,4,6,7,8,11}	skip moves:[[6 6] [1 5] [3 6] [4 6]]; speedup:26.82=>26.47
{1,5,6,7,8,11}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [6 6]]; speedup:25.22=>24.97
{2,5,6,7,8,11}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:24.6=>24.57
{1,2,5,6,7,8,11}	skip moves:[[5 5] [2 3] [1 4] [2 4] [3 3] [6 6]]; speedup:26.53=>25.99
{3,5,6,7,8,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:23.93=>23.87
{1,3,5,6,7,8,11}	skip moves:[[3 6] [1 4] [5 5] [2 3] [2 4] [6 6]]; speedup:25.61=>25.42
{2,3,5,6,7,8,11}	skip moves:[[5 5] [1 4] [1 5] [2 4] [6 6]]; speedup:25.2=>25.09
{1,2,3,5,6,7,8,11}	skip moves:[[5 5] [1 4] [2 4] [6 6] [3 6]]; speedup:26.41=>26.21
{1,4,5,6,7,8,11}	skip moves:[[5 5] [2 3] [3 3] [2 4] [6 6] [4 5] [4 6]]; speedup:25.26=>25.08
{2,4,5,6,7,8,11}	skip moves:[[5 5] [1 4] [2 3] [3 3] [1 5] [6 6]]; speedup:24.85=>24.81
{1,2,4,5,6,7,8,11}	skip moves:[[1 3] [5 5] [2 3] [3 3] [6 6] [4 5] [4 6]]; speedup:26.15=>25.87
{3,4,5,6,7,8,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:24.38=>24.32
{1,3,4,5,6,7,8,11}	skip moves:[[3 6] [2 3] [5 5] [2 4] [6 6] [4 5] [4 6]]; speedup:25.66=>25.53
